origin;serap;Kvalue;TotCresp;N;P;K;Ca;Mg;C;Phen;Lign
Forest;Am;0.000822018;22.45403438;12.36333333;0.17;1.54;6.813333333;1.16;146.0913071;2.290196078;56.97333333
Forest;Ba;0.000752821;36.19395179;11.59;0.386666667;1.39;6.256666667;1.696666667;104.1901188;1.64072;48.31666667
Savanna;Dy;0.000960461;37.05954534;10.25333333;0.333333333;1.49;9.87;2.263333333;93.68355222;1.530357143;54.59333333
Forest;Ma;0.001505962;34.06105433;11.07666667;0.276666667;1.69;7.296666667;1.053333333;175.8599124;0.7875;44.31333333
Savanna;Mr;0.000836418;22.05543804;8.45;0.27;1.44;3.41;0.846666667;130.3314572;1.736309524;55.02
Forest;My;0.000864575;33.48133489;14.27333333;0.326666667;6.206666667;20.60333333;2.97;132.5828643;1.18422619;51.35333333
Savanna;Qa;0.001022058;32.76173676;8.243333333;0.24;1.59;4.346666667;1.153333333;131.7073171;1.152678571;32.25
Savanna;St;0.002209628;30.91276873;16.02;0.393333333;2.24;2.46;1.113333333;86.2601626;1.689583333;57.25666667
Savanna;To;0.003557183;55.19908093;12.21333333;0.393333333;1.44;10.05333333;1.926666667;329.3308318;0.375;44.49666667
Forest;Vo;0.000655157;31.87016536;9.016666667;0.316666667;2.79;5.21;2.023333333;156.7229518;0.953869048;22.02666667
